time,x,y,Q,dist,pan,tilt
1770614043.9304352,10.86401,94.49035,1180.844,58,85,60
1770614043.9304469,10.86401,94.49035,1180.844,51,105,60
1770614043.930462,10.86401,94.49035,1180.844,81,125,60
1770614043.9304786,10.86401,94.49035,1180.844,37,145,60
1770614043.9304924,10.86401,94.49035,1180.844,43,25,90
1770614043.9305065,10.86401,94.49035,1180.844,37,45,90
1770614043.9305205,10.86401,94.49035,1180.844,39,65,90
1770614043.9305344,10.86401,94.49035,1180.844,45,85,90
1770614043.9305484,10.86401,94.49035,1180.844,48,105,90
1770614043.9305623,10.86401,94.49035,1180.844,38,125,90
1770614043.9305758,10.86401,94.49035,1180.844,34,145,90
1770614043.9305894,10.86401,94.49035,1180.844,45,25,120
1770614043.9306033,10.86401,94.49035,1180.844,40,45,120
1770614043.9306169,10.86401,94.49035,1180.844,46,65,120
1770614043.9306343,10.86401,94.49035,1180.844,47,85,120
1770614043.9306464,10.86401,94.49035,1180.844,38,105,120
1770614043.9306576,10.86401,94.49035,1180.844,37,125,120
1770614043.9306695,10.86401,94.49035,1180.844,38,145,120
1770614054.282983,10.86401,94.49035,1180.844,62,25,60
1770614054.283013,10.86401,94.49035,1180.844,89,45,60
1770614054.283029,10.86401,94.49035,1180.844,101,65,60
1770614054.283044,10.86401,94.49035,1180.844,58,85,60
1770614054.2830584,10.86401,94.49035,1180.844,51,105,60
1770614054.2830727,10.86401,94.49035,1180.844,62,125,60
1770614054.2830865,10.86401,94.49035,1180.844,37,145,60
1770614054.2831032,10.86401,94.49035,1180.844,51,25,90
1770614054.2831175,10.86401,94.49035,1180.844,37,45,90
1770614054.2831318,10.86401,94.49035,1180.844,38,65,90
1770614054.2831457,10.86401,94.49035,1180.844,51,85,90
1770614054.2831593,10.86401,94.49035,1180.844,53,105,90
1770614054.283173,10.86401,94.49035,1180.844,38,125,90
1770614054.2831867,10.86401,94.49035,1180.844,34,145,90
1770614054.2832005,10.86401,94.49035,1180.844,42,25,120
